,Unnamed: 0,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,tip_disp_x,tip_disp_y,bend_angle
0,0,0.0,0.0,0.0,23.0,41.0,649.0,638.0,607.5526489178848,243.9270710144956,585.9783626317943,401.0515615167801,-21.64135459262434,157.21393208067434,-0.13679572500790746
1,1,0.030029296875,0.0,0.0,23.0,40.0,648.0,639.0,607.5296368010962,243.81718669942174,585.9953784814828,401.0915482119358,-21.624338742935834,157.25391877583002,-0.13665517612219336
2,2,0.0599365234375,0.0,0.0,23.0,40.0,648.0,640.0,607.5296368010962,243.81718669942174,585.9953784814828,401.0915482119358,-21.624338742935834,157.25391877583002,-0.13665517612219336
3,3,0.0899658203125,41.0,41.0,23.0,41.0,646.0,639.0,607.5617414342801,243.90627338772072,586.0361170823318,400.9465235006973,-21.58360014208688,157.10889406459154,-0.13652526401561316
4,4,0.1199951171875,41.0,41.0,23.0,40.0,649.0,639.0,607.5139632461638,243.89560343954858,586.1837580117613,401.35821159190766,-21.435959212657394,157.5205821558019,-0.1352527254378115
5,5,0.1500244140625,41.0,41.0,23.0,41.0,646.0,640.0,607.6170301626613,243.78236309351902,587.8160375661081,401.76936210187495,-19.803679658310557,157.93173266576918,-0.12474283919981367
6,6,0.1800537109375,41.0,41.0,23.0,40.0,647.0,639.0,607.6170301626613,243.78236309351902,591.287834446235,403.14192668530563,-16.331882778183626,159.30429724919986,-0.10216311311536258
7,7,0.2099609375,41.0,41.0,23.0,41.0,646.0,637.0,607.5289683407689,243.84784625950687,593.8427040366073,403.99754848353655,-13.777013187811349,160.15991904743078,-0.08580912335615598
8,8,0.239990234375,41.0,41.0,23.0,42.0,647.0,635.0,607.5766013116886,243.85824698440484,595.1544033408119,404.5277115828797,-12.465313883606768,160.69008214677393,-0.07741859090933684
9,9,0.27001953125,41.0,41.0,23.0,39.0,645.0,635.0,607.5766013116886,243.85824698440484,595.1544033408119,404.5277115828797,-12.465313883606768,160.69008214677393,-0.07741859090933684
10,10,0.300048828125,41.0,41.0,24.0,40.0,642.0,632.0,607.5326308879255,243.87800065659104,595.3550051740574,404.6194177404972,-12.264712050361254,160.78178830439145,-0.07613428013944142
11,11,0.3299560546875,41.0,41.0,23.0,40.0,641.0,634.0,607.5686629709377,243.7831466729256,596.2305221604212,404.92562425047475,-11.389195063997477,161.08799481436898,-0.07058424570983317
12,12,0.3599853515625,41.0,41.0,24.0,37.0,639.0,633.0,607.5289683407689,243.84784625950687,597.8610750071344,405.4191124597231,-9.758642217284205,161.58148302361735,-0.06032128832322037
13,13,0.3900146484375,41.0,41.0,23.0,39.0,638.0,631.0,607.5686629709377,243.7831466729256,599.161634386061,405.6473702148163,-8.458082838357655,161.80974077871053,-0.05222424776739475
14,14,0.4200439453125,41.0,41.0,23.0,41.0,637.0,629.0,607.5475971791602,243.83021119537378,599.2305660245753,405.7371230820829,-8.389151199843354,161.89949364597715,-0.05177072997668697
